MODELLO,LAYER,Cosine_AA_vs_AP,Cosine_AA_vs_PI,Cosine_AP_vs_PI
Qwen/Qwen2.5-Coder-7B-Instruct,7,0.5045418739318848,0.4190238416194916,0.5587728023529053
Qwen/Qwen2.5-Coder-7B-Instruct,8,0.5368697047233582,0.4296330213546753,0.5517948865890503
Qwen/Qwen2.5-Coder-7B-Instruct,9,0.5193341374397278,0.3877428472042084,0.5443249344825745
Qwen/Qwen2.5-Coder-7B-Instruct,10,0.5323291420936584,0.4358377754688263,0.5567707419395447
Qwen/Qwen2.5-Coder-7B-Instruct,11,0.5304811000823975,0.388608306646347,0.5564584732055664
Qwen/Qwen2.5-Coder-7B-Instruct,12,0.5610648393630981,0.4065680801868438,0.5402606725692749
Qwen/Qwen2.5-Coder-7B-Instruct,13,0.5919991135597229,0.3887165784835815,0.5010906457901001
Qwen/Qwen2.5-Coder-7B-Instruct,14,0.6008302569389343,0.3433758616447449,0.4383689761161804
Qwen/Qwen2.5-Coder-7B-Instruct,15,0.6121055483818054,0.3463747799396515,0.4365813434123993
Qwen/Qwen2.5-Coder-7B-Instruct,16,0.5957984328269958,0.3292389214038849,0.466090440750122
Qwen/Qwen2.5-Coder-7B-Instruct,17,0.5981906652450562,0.2664126753807068,0.4275612831115722
Qwen/Qwen2.5-Coder-7B-Instruct,18,0.5668370127677917,0.2493899762630462,0.4249964952468872
Qwen/Qwen2.5-Coder-7B-Instruct,19,0.5506362318992615,0.2918851375579834,0.4175654053688049
Qwen/Qwen2.5-Coder-7B-Instruct,20,0.558390736579895,0.2631687223911285,0.3810567855834961
Qwen/Qwen2.5-Coder-7B-Instruct,21,0.547440767288208,0.2435667812824249,0.3503385186195373
Qwen/Qwen2.5-Coder-7B-Instruct,22,0.531363844871521,0.2047280818223953,0.3101537823677063
Qwen/Qwen2.5-Coder-7B-Instruct,23,0.5254597067832947,0.2339654266834259,0.3220177590847015
Qwen/Qwen2.5-Coder-7B-Instruct,24,0.5361919403076172,0.2315704375505447,0.3256158232688904
Qwen/Qwen2.5-Coder-7B-Instruct,25,0.523269772529602,0.2453605532646179,0.3298231959342956
Qwen/Qwen2.5-Coder-7B-Instruct,26,0.4700019359588623,0.2362487316131591,0.3009360730648041
Qwen/Qwen2.5-Coder-7B-Instruct,27,0.4608277380466461,0.246519923210144,0.3746671974658966
meta-llama/Llama-3.1-8B-Instruct,0,,0.2319318503141403,
meta-llama/Llama-3.1-8B-Instruct,1,,0.1895882040262222,
meta-llama/Llama-3.1-8B-Instruct,2,,0.1926380842924118,
meta-llama/Llama-3.1-8B-Instruct,3,,0.2085653245449066,
meta-llama/Llama-3.1-8B-Instruct,4,,0.3078115880489349,
meta-llama/Llama-3.1-8B-Instruct,5,,0.2040129452943802,
meta-llama/Llama-3.1-8B-Instruct,6,,0.2121355980634689,
meta-llama/Llama-3.1-8B-Instruct,7,,0.3347332775592804,
meta-llama/Llama-3.1-8B-Instruct,8,,0.2503606081008911,
meta-llama/Llama-3.1-8B-Instruct,9,,0.1842324584722519,
meta-llama/Llama-3.1-8B-Instruct,10,,0.1690183281898498,
meta-llama/Llama-3.1-8B-Instruct,11,,0.1265622824430465,
meta-llama/Llama-3.1-8B-Instruct,12,,0.156793862581253,
meta-llama/Llama-3.1-8B-Instruct,13,,0.0086238328367471,
meta-llama/Llama-3.1-8B-Instruct,14,,-0.0140334572643041,
meta-llama/Llama-3.1-8B-Instruct,15,,0.1325612664222717,
meta-llama/Llama-3.1-8B-Instruct,16,,0.3093368113040924,
meta-llama/Llama-3.1-8B-Instruct,17,,0.4351220428943634,
meta-llama/Llama-3.1-8B-Instruct,18,,0.509458601474762,
meta-llama/Llama-3.1-8B-Instruct,19,,0.5484796166419983,
meta-llama/Llama-3.1-8B-Instruct,20,,0.5783260464668274,
meta-llama/Llama-3.1-8B-Instruct,21,,0.5772700309753418,
meta-llama/Llama-3.1-8B-Instruct,22,,0.5642670392990112,
meta-llama/Llama-3.1-8B-Instruct,23,,0.5986482501029968,
meta-llama/Llama-3.1-8B-Instruct,24,,0.5889886021614075,
meta-llama/Llama-3.1-8B-Instruct,25,,0.5852422118186951,
meta-llama/Llama-3.1-8B-Instruct,26,,0.5935509204864502,
meta-llama/Llama-3.1-8B-Instruct,27,,0.5685462951660156,
meta-llama/Llama-3.1-8B-Instruct,28,,0.5701591968536377,
meta-llama/Llama-3.1-8B-Instruct,29,,0.5651628971099854,
meta-llama/Llama-3.1-8B-Instruct,30,,0.5614330172538757,
meta-llama/Llama-3.1-8B-Instruct,31,,0.5170992612838745,
codellama/CodeLlama-7b-Instruct-hf,0,0.7495419979095459,0.3509769141674042,0.4922556281089782
codellama/CodeLlama-7b-Instruct-hf,1,0.6548039317131042,0.1814350038766861,0.3993608355522156
codellama/CodeLlama-7b-Instruct-hf,2,0.6094695329666138,0.18009814620018,0.3546116352081299
codellama/CodeLlama-7b-Instruct-hf,3,0.5745185017585754,0.1194749027490615,0.2887760996818542
codellama/CodeLlama-7b-Instruct-hf,4,0.4830454587936401,0.2760990560054779,0.3979302048683166
codellama/CodeLlama-7b-Instruct-hf,5,0.4552475810050964,0.2311794161796569,0.4175608158111572
codellama/CodeLlama-7b-Instruct-hf,6,0.4853148460388183,0.2520269453525543,0.3994481563568115
codellama/CodeLlama-7b-Instruct-hf,7,0.6357998847961426,0.3483187258243561,0.4619995951652527
codellama/CodeLlama-7b-Instruct-hf,8,0.6874189376831055,0.3681127429008484,0.4767517745494842
codellama/CodeLlama-7b-Instruct-hf,9,0.6768910884857178,0.3896898925304413,0.5021948218345642
codellama/CodeLlama-7b-Instruct-hf,10,0.6409233212471008,0.4062437713146209,0.5158330798149109
codellama/CodeLlama-7b-Instruct-hf,11,0.6362563371658325,0.40534707903862,0.5439119338989258
codellama/CodeLlama-7b-Instruct-hf,12,0.6458579301834106,0.3980090320110321,0.5215016603469849
codellama/CodeLlama-7b-Instruct-hf,13,0.620945394039154,0.3600944578647613,0.4683430194854736
codellama/CodeLlama-7b-Instruct-hf,14,0.5914649367332458,0.2825846970081329,0.3711754083633423
codellama/CodeLlama-7b-Instruct-hf,15,0.5656227469444275,0.272581934928894,0.3905017077922821
codellama/CodeLlama-7b-Instruct-hf,16,0.567058801651001,0.2862868905067444,0.3923818469047546
codellama/CodeLlama-7b-Instruct-hf,17,0.5489270687103271,0.2687478065490722,0.3998699486255646
