id_snippet,modello,layer_locus,cos_sim_stesso_layer,cos_sim_penultimo_layer
140,Qwen/Qwen2.5-Coder-7B-Instruct,18,,-0.354248046875
141,Qwen/Qwen2.5-Coder-7B-Instruct,18,,-0.384765625
142,Qwen/Qwen2.5-Coder-7B-Instruct,18,,-0.365966796875
143,Qwen/Qwen2.5-Coder-7B-Instruct,18,,-0.3603515625
144,Qwen/Qwen2.5-Coder-7B-Instruct,18,,-0.365966796875
145,Qwen/Qwen2.5-Coder-7B-Instruct,18,,-0.389404296875
146,Qwen/Qwen2.5-Coder-7B-Instruct,18,,-0.369873046875
147,Qwen/Qwen2.5-Coder-7B-Instruct,18,,-0.38427734375
148,Qwen/Qwen2.5-Coder-7B-Instruct,18,,-0.353271484375
149,Qwen/Qwen2.5-Coder-7B-Instruct,18,,-0.360107421875
150,Qwen/Qwen2.5-Coder-7B-Instruct,18,,-0.400146484375
151,Qwen/Qwen2.5-Coder-7B-Instruct,18,,-0.37841796875
152,Qwen/Qwen2.5-Coder-7B-Instruct,18,,-0.385986328125
153,Qwen/Qwen2.5-Coder-7B-Instruct,18,,-0.376220703125
154,Qwen/Qwen2.5-Coder-7B-Instruct,18,,-0.37548828125
155,Qwen/Qwen2.5-Coder-7B-Instruct,18,,-0.352294921875
156,Qwen/Qwen2.5-Coder-7B-Instruct,18,,-0.364990234375
157,Qwen/Qwen2.5-Coder-7B-Instruct,18,,-0.407470703125
158,Qwen/Qwen2.5-Coder-7B-Instruct,18,,-0.38671875
159,Qwen/Qwen2.5-Coder-7B-Instruct,18,,-0.378173828125
160,Qwen/Qwen2.5-Coder-7B-Instruct,18,,-0.374755859375
161,Qwen/Qwen2.5-Coder-7B-Instruct,18,,-0.359375
162,Qwen/Qwen2.5-Coder-7B-Instruct,18,,-0.37158203125
163,Qwen/Qwen2.5-Coder-7B-Instruct,18,,-0.361572265625
164,Qwen/Qwen2.5-Coder-7B-Instruct,18,,-0.374755859375
165,Qwen/Qwen2.5-Coder-7B-Instruct,18,,-0.376708984375
166,Qwen/Qwen2.5-Coder-7B-Instruct,18,,-0.39599609375
167,Qwen/Qwen2.5-Coder-7B-Instruct,18,,-0.388427734375
168,Qwen/Qwen2.5-Coder-7B-Instruct,18,,-0.391357421875
169,Qwen/Qwen2.5-Coder-7B-Instruct,18,,-0.38623046875
170,Qwen/Qwen2.5-Coder-7B-Instruct,18,,-0.36328125
171,Qwen/Qwen2.5-Coder-7B-Instruct,18,,-0.372802734375
172,Qwen/Qwen2.5-Coder-7B-Instruct,18,,-0.386962890625
173,Qwen/Qwen2.5-Coder-7B-Instruct,18,,-0.37451171875
174,Qwen/Qwen2.5-Coder-7B-Instruct,18,,-0.36376953125
175,meta-llama/Llama-3.1-8B-Instruct,15,,-0.195556640625
176,meta-llama/Llama-3.1-8B-Instruct,15,,-0.193359375
177,meta-llama/Llama-3.1-8B-Instruct,15,,-0.19775390625
178,meta-llama/Llama-3.1-8B-Instruct,15,,-0.19677734375
179,meta-llama/Llama-3.1-8B-Instruct,15,,-0.2279052734375
180,meta-llama/Llama-3.1-8B-Instruct,15,,-0.1932373046875
181,meta-llama/Llama-3.1-8B-Instruct,15,,-0.1949462890625
182,meta-llama/Llama-3.1-8B-Instruct,15,,-0.1822509765625
184,meta-llama/Llama-3.1-8B-Instruct,15,,-0.1868896484375
185,meta-llama/Llama-3.1-8B-Instruct,15,,-0.182373046875
186,meta-llama/Llama-3.1-8B-Instruct,15,,-0.2125244140625
187,meta-llama/Llama-3.1-8B-Instruct,15,,-0.1920166015625
188,meta-llama/Llama-3.1-8B-Instruct,15,,-0.170166015625
189,meta-llama/Llama-3.1-8B-Instruct,15,,-0.193115234375
190,meta-llama/Llama-3.1-8B-Instruct,15,,-0.1983642578125
192,meta-llama/Llama-3.1-8B-Instruct,15,,-0.2052001953125
193,meta-llama/Llama-3.1-8B-Instruct,15,,-0.198974609375
194,meta-llama/Llama-3.1-8B-Instruct,15,,-0.1956787109375
195,meta-llama/Llama-3.1-8B-Instruct,15,,-0.2177734375
196,meta-llama/Llama-3.1-8B-Instruct,15,,-0.173828125
197,meta-llama/Llama-3.1-8B-Instruct,15,,-0.172119140625
199,meta-llama/Llama-3.1-8B-Instruct,15,,-0.2056884765625
200,meta-llama/Llama-3.1-8B-Instruct,15,,-0.163818359375
202,meta-llama/Llama-3.1-8B-Instruct,15,,-0.1873779296875
203,meta-llama/Llama-3.1-8B-Instruct,15,,-0.196533203125
204,meta-llama/Llama-3.1-8B-Instruct,15,,-0.1644287109375
206,meta-llama/Llama-3.1-8B-Instruct,15,,-0.20849609375
