id_snippet,modello,layer_analizzato,cosine_similarity_AA_vs_AP,valore_assoluto
73,Qwen/Qwen2.5-Coder-7B-Instruct,18,0.70556640625,0.70556640625
76,Qwen/Qwen2.5-Coder-7B-Instruct,18,0.50341796875,0.50341796875
77,Qwen/Qwen2.5-Coder-7B-Instruct,18,0.58740234375,0.58740234375
78,Qwen/Qwen2.5-Coder-7B-Instruct,18,0.52490234375,0.52490234375
79,Qwen/Qwen2.5-Coder-7B-Instruct,18,0.576171875,0.576171875
80,Qwen/Qwen2.5-Coder-7B-Instruct,18,0.5888671875,0.5888671875
50,codellama/CodeLlama-7b-Instruct-hf,13,0.7265625,0.7265625
95,codellama/CodeLlama-7b-Instruct-hf,13,0.7275390625,0.7275390625
8,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,19,0.53271484375,0.53271484375
10,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,19,0.7568359375,0.7568359375
22,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,19,0.52734375,0.52734375
24,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,19,0.8564453125,0.8564453125
34,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,19,0.6171875,0.6171875
59,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,19,0.6376953125,0.6376953125
62,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,19,0.72607421875,0.72607421875
69,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,19,0.412841796875,0.412841796875
74,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,19,0.46923828125,0.46923828125
91,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,19,0.64501953125,0.64501953125
104,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,19,0.5771484375,0.5771484375
109,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,19,0.5703125,0.5703125
134,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,19,0.58642578125,0.58642578125
151,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,19,0.480224609375,0.480224609375
181,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,19,0.63525390625,0.63525390625
