MODELLO,LAYER,Cosine_AA_vs_AP,Cosine_AA_vs_PI,Cosine_AP_vs_PI
meta-llama/Llama-3.1-8B-Instruct,30,0.48861172795295715,0.4671679735183716,0.290854811668396
meta-llama/Llama-3.1-8B-Instruct,31,0.4858115315437317,0.4485493004322052,0.28417226672172546
meta-llama/Llama-3.1-8B-Instruct,32,0.4624365270137787,0.3856951892375946,0.2860410511493683
codellama/CodeLlama-7b-Instruct-hf,0,0.0,,
codellama/CodeLlama-7b-Instruct-hf,1,0.6841912269592285,,
codellama/CodeLlama-7b-Instruct-hf,2,0.6077868938446045,,
codellama/CodeLlama-7b-Instruct-hf,3,0.5477544665336609,,
codellama/CodeLlama-7b-Instruct-hf,4,0.5118292570114136,,
codellama/CodeLlama-7b-Instruct-hf,5,0.47487130761146545,,
codellama/CodeLlama-7b-Instruct-hf,6,0.4462445378303528,,
codellama/CodeLlama-7b-Instruct-hf,7,0.4881901741027832,,
codellama/CodeLlama-7b-Instruct-hf,8,0.6519249677658081,,
codellama/CodeLlama-7b-Instruct-hf,9,0.6946671009063721,,
codellama/CodeLlama-7b-Instruct-hf,10,0.7087927460670471,,
codellama/CodeLlama-7b-Instruct-hf,11,0.6894786953926086,,
codellama/CodeLlama-7b-Instruct-hf,12,0.7061693668365479,,
codellama/CodeLlama-7b-Instruct-hf,13,0.7106858491897583,,
codellama/CodeLlama-7b-Instruct-hf,14,0.6956186890602112,,
codellama/CodeLlama-7b-Instruct-hf,15,0.674929141998291,,
codellama/CodeLlama-7b-Instruct-hf,16,0.6578624248504639,,
codellama/CodeLlama-7b-Instruct-hf,17,0.6600651741027832,,
codellama/CodeLlama-7b-Instruct-hf,18,0.649695634841919,,
codellama/CodeLlama-7b-Instruct-hf,19,0.6205860376358032,,
codellama/CodeLlama-7b-Instruct-hf,20,0.6510134339332581,,
codellama/CodeLlama-7b-Instruct-hf,21,0.6403929591178894,,
codellama/CodeLlama-7b-Instruct-hf,22,0.6293966770172119,,
codellama/CodeLlama-7b-Instruct-hf,23,0.6369434595108032,,
