MODELLO,LAYER,Delta_AA,Delta_PI,Delta_AP,Base_AA,Base_PI,Base_AP
Qwen/Qwen2.5-Coder-7B-Instruct,9,-0.014500325520833357,-0.15607527190563708,-0.3044394841269842,-1.3061197916666667,-1.2942062078737746,-1.304718501984127
Qwen/Qwen2.5-Coder-7B-Instruct,10,-0.006601562499999991,-0.3164062499999999,-0.16514756944444442,-0.9929817708333334,-0.9878599877450981,-0.9940321180555556
Qwen/Qwen2.5-Coder-7B-Instruct,11,-0.01781250000000001,-0.32234221813725505,-0.03593129960317465,-1.6944010416666666,-1.701516544117647,-1.6917162698412698
Qwen/Qwen2.5-Coder-7B-Instruct,12,-0.09515625000000005,-0.42861519607843124,-0.06674727182539675,-1.2776041666666667,-1.2938495710784315,-1.2739645337301588
Qwen/Qwen2.5-Coder-7B-Instruct,13,-0.06963541666666667,-0.5136527267156863,-0.1429191468253968,-0.448203125,-0.4479549632352941,-0.44419642857142855
Qwen/Qwen2.5-Coder-7B-Instruct,14,-0.10867187499999997,-0.4624693627450981,-0.2191530257936508,-0.999453125,-0.9911151960784313,-0.9956597222222222
Qwen/Qwen2.5-Coder-7B-Instruct,15,-0.23747395833333318,-0.23265165441176494,-0.076171875,-2.396953125,-2.393612132352941,-2.3949342757936507
Qwen/Qwen2.5-Coder-7B-Instruct,16,-0.22630208333333313,-0.4019607843137254,-0.14443824404761907,-2.4798567708333334,-2.483455882352941,-2.4780815972222223
Qwen/Qwen2.5-Coder-7B-Instruct,17,-0.22813802083333323,-0.41846660539215685,-0.09381200396825395,-2.3842447916666667,-2.3899739583333335,-2.386966765873016
Qwen/Qwen2.5-Coder-7B-Instruct,18,-0.27127604166666686,0.12394684436274517,-0.0415891617063493,-3.2119010416666667,-3.209597120098039,-3.2300037202380953
Qwen/Qwen2.5-Coder-7B-Instruct,19,-1.5932291666666671,-0.7387408088235294,-1.0939980158730158,-2.6428125,-2.645220588235294,-2.6723400297619047
Qwen/Qwen2.5-Coder-7B-Instruct,20,-2.404973958333333,-1.3515433517156858,-2.1966920882936503,-2.119453125,-2.2277879901960786,-2.1400049603174605
Qwen/Qwen2.5-Coder-7B-Instruct,21,-4.282805989583332,-2.0693550857843137,-3.083596850198413,-2.7708333333333335,-2.9649969362745097,-2.8288070436507935
Qwen/Qwen2.5-Coder-7B-Instruct,22,-3.040572916666666,-0.8928462009803924,-2.0536954365079363,-2.8572395833333335,-3.0792738970588234,-2.900359623015873
Qwen/Qwen2.5-Coder-7B-Instruct,23,-4.7125,-2.375765931372549,-5.822358630952381,-2.2891666666666666,-2.722732843137255,-2.3348214285714284
Qwen/Qwen2.5-Coder-7B-Instruct,24,-4.576458333333333,-2.4494485294117645,-5.279017857142857,-2.3116666666666665,-2.7169117647058822,-2.378968253968254
Qwen/Qwen2.5-Coder-7B-Instruct,25,-4.4705208333333335,-2.1199448529411766,-5.025917658730158,-1.5875,-1.9512867647058822,-1.6478174603174602
Qwen/Qwen2.5-Coder-7B-Instruct,26,-3.3228125000000004,-1.6671262254901964,-3.8375496031746033,-1.8936458333333333,-2.1934742647058822,-1.9470486111111112
Qwen/Qwen2.5-Coder-7B-Instruct,27,-2.483125,-1.4960171568627452,-3.2430555555555554,-0.056666666666666664,-0.27450980392156865,-0.0992063492063492
Qwen/Qwen2.5-Coder-7B-Instruct,28,-2.0875000000000004,-1.268688725490196,-2.705109126984127,0.77875,0.5885416666666666,0.7353670634920635
meta-llama/Llama-3.1-8B-Instruct,0,0.0,0.0,,1.5234375,1.5234375,
meta-llama/Llama-3.1-8B-Instruct,1,-0.130859375,0.07510958373091592,,2.4892578125,2.4714113191793894,
meta-llama/Llama-3.1-8B-Instruct,2,-0.0361328125,0.019240517652671763,,3.5068359375,3.499642175572519,
meta-llama/Llama-3.1-8B-Instruct,3,0.1387939453125,0.28516764313210063,,0.864990234375,1.0546569533020484,
meta-llama/Llama-3.1-8B-Instruct,4,0.06915283203125,-0.17961198410005075,,1.9920654296875,2.284100360542763,
meta-llama/Llama-3.1-8B-Instruct,5,0.188079833984375,-0.1443073986140826,,2.33001708984375,2.555346263273982,
meta-llama/Llama-3.1-8B-Instruct,6,0.18359375,0.747614503816794,,-0.30078125,0.09053703482824428,
meta-llama/Llama-3.1-8B-Instruct,7,0.35546875,0.7603023616412214,,0.337890625,0.5179210400763359,
meta-llama/Llama-3.1-8B-Instruct,8,0.34912109375,0.7469994930820612,,0.15185546875,0.8106400584446565,
meta-llama/Llama-3.1-8B-Instruct,9,0.2412109375,-0.8639217697027075,,-1.0869140625,-0.6636301288167938,
meta-llama/Llama-3.1-8B-Instruct,10,0.2734375,-0.4621600667938931,,-0.6552734375,-0.5154982705152672,
meta-llama/Llama-3.1-8B-Instruct,11,0.013671875,-0.27193165553435117,,0.087890625,0.06922411736641221,
meta-llama/Llama-3.1-8B-Instruct,12,-0.16552734375,0.6768436577483898,,-2.71337890625,-2.9680627720956583,
meta-llama/Llama-3.1-8B-Instruct,13,0.0888671875,-0.0945910533875911,,-1.61962890625,-1.4660179778819775,
meta-llama/Llama-3.1-8B-Instruct,14,-0.18603515625,-1.0341890058444654,,-1.21728515625,-1.0372416954914123,
meta-llama/Llama-3.1-8B-Instruct,15,0.2498779296875,-1.442055796848909,,-1.46484375,-1.1055789394233062,
meta-llama/Llama-3.1-8B-Instruct,16,-0.6728515625,-0.46781443821564883,,-1.8623046875,-1.8400524809160306,
meta-llama/Llama-3.1-8B-Instruct,17,-0.2578125,-0.6643614950980852,,-4.124267578125,-3.5114557470074135,
meta-llama/Llama-3.1-8B-Instruct,18,-0.583984375,-1.1615428196564883,,-4.26171875,-3.096060949427481,
meta-llama/Llama-3.1-8B-Instruct,19,-1.6728515625,-1.744043714217557,,-3.6171875,-2.606721135496183,
meta-llama/Llama-3.1-8B-Instruct,20,-1.681640625,-2.178204019561069,,-2.939453125,-1.594122733778626,
meta-llama/Llama-3.1-8B-Instruct,21,-1.572265625,-2.488564527671756,,-2.23046875,-0.38506381202290074,
meta-llama/Llama-3.1-8B-Instruct,22,-1.48828125,-2.283650405534351,,-2.7265625,-0.8027418296755725,
meta-llama/Llama-3.1-8B-Instruct,23,-1.0078125,-2.590887404580153,,-2.59375,-0.3677242366412214,
meta-llama/Llama-3.1-8B-Instruct,24,-0.8828125,-2.2099236641221376,,-0.3203125,1.6804031488549618,
meta-llama/Llama-3.1-8B-Instruct,25,-0.9609375,-2.816913167938931,,-0.2578125,2.0561784351145036,
meta-llama/Llama-3.1-8B-Instruct,26,-1.1015625,-3.0790195610687023,,0.1171875,2.398914599236641,
meta-llama/Llama-3.1-8B-Instruct,27,-1.1015625,-2.9821684160305346,,-1.3359375,0.8461951335877863,
meta-llama/Llama-3.1-8B-Instruct,28,-0.59375,-3.002624045801527,,-2.3203125,-0.23330152671755724,
meta-llama/Llama-3.1-8B-Instruct,29,-0.234375,-2.896827290076336,,-0.71875,1.569537213740458,
meta-llama/Llama-3.1-8B-Instruct,30,-0.171875,-2.6783754770992365,,-0.015625,2.4846731870229006,
meta-llama/Llama-3.1-8B-Instruct,31,-0.8125,-2.364742366412214,,0.21875,1.614861641221374,
meta-llama/Llama-3.1-8B-Instruct,32,-0.4375,-1.5787213740458015,,0.515625,1.710162213740458,
codellama/CodeLlama-7b-Instruct-hf,0,0.0,0.0,0.0,0.5419921875,0.5419921875,0.5419921875
codellama/CodeLlama-7b-Instruct-hf,1,0.05851236979166666,-0.02953488143844224,-0.07496995192307693,-0.28955078125,-0.26785784390703515,-0.26851712740384615
codellama/CodeLlama-7b-Instruct-hf,2,0.026247660319010435,0.03019941991298042,-0.08811833308293271,0.3203938802083333,0.3554783586281628,0.36280001126802885
codellama/CodeLlama-7b-Instruct-hf,3,0.15714518229166663,0.05468967212504472,0.0349387847460233,0.8256378173828125,0.9305576092034729,0.9149514803519616
codellama/CodeLlama-7b-Instruct-hf,4,0.10626029968261719,0.08908458331122476,0.09660588777982276,0.4270954132080078,0.4806259481152098,0.4591874342698317
codellama/CodeLlama-7b-Instruct-hf,5,0.0996551513671875,-0.1180562925099129,-0.18182373046875,1.2906239827473958,1.4698542685964,1.4488384540264423
codellama/CodeLlama-7b-Instruct-hf,6,0.22557830810546875,-0.2840194372675527,-0.06705713730592,0.26079050699869794,0.5892988862703793,0.5331755830691411
codellama/CodeLlama-7b-Instruct-hf,7,0.2904052734375,-0.2310757277598932,-0.04045222355769232,-0.4399007161458333,-0.16220169450769473,-0.21399864783653846
codellama/CodeLlama-7b-Instruct-hf,8,0.03694661458333337,-0.1039499254082914,-0.06659405048076927,-0.744384765625,-0.7368114989007538,-0.7378305288461539
codellama/CodeLlama-7b-Instruct-hf,9,0.101318359375,-0.08331697550251249,-0.12854942908653855,-1.2422688802083333,-1.0857362986809045,-1.1357609675480769
codellama/CodeLlama-7b-Instruct-hf,10,0.1558837890625,-0.09006069892614943,-0.11077059232271647,-1.6326904296875,-1.4774329410725502,-1.4907426100510817
codellama/CodeLlama-7b-Instruct-hf,11,0.05802408854166652,-0.09142667684123751,-0.16902747521033668,-2.296142578125,-2.314022198394315,-2.3131126990685096
codellama/CodeLlama-7b-Instruct-hf,12,-0.08626302083333348,-0.5075720398869348,-0.23876953125,-2.1676432291666665,-2.2840815405150754,-2.2549203725961537
codellama/CodeLlama-7b-Instruct-hf,13,-0.1185302734375,-0.6020076790047648,-0.3765927094679613,-2.8099772135416665,-3.0184846810959094,-3.009002685546875
codellama/CodeLlama-7b-Instruct-hf,14,-0.21858723958333393,-1.1631031132223617,-0.33954326923076916,-4.026204427083333,-4.098262307631909,-4.113224909855769
codellama/CodeLlama-7b-Instruct-hf,15,0.09488932291666652,-1.8029772887876887,-0.2272761418269229,-3.1100260416666665,-2.986980802449749,-3.0196439302884617
codellama/CodeLlama-7b-Instruct-hf,16,-0.014485677083333481,-1.7620850759534976,-0.5070988581730766,-2.96337890625,-2.8649718318153266,-2.907527043269231
codellama/CodeLlama-7b-Instruct-hf,17,-1.1127929687499996,-3.074888603172111,-1.7918419471153846,-3.2210286458333335,-3.08984375,-3.2859825721153846
codellama/CodeLlama-7b-Instruct-hf,18,-0.9986979166666665,-4.1397809359296485,-2.1091496394230766,-3.2278645833333335,-2.904100581030151,-3.0826322115384617
codellama/CodeLlama-7b-Instruct-hf,19,-0.8847656250000004,-5.35264211683417,-2.180138221153846,-3.9049479166666665,-3.448198021356784,-3.683293269230769
codellama/CodeLlama-7b-Instruct-hf,20,-0.8632812500000002,-6.53890546482412,-1.9269831730769234,-1.3684895833333333,-0.844024811557789,-1.0973557692307692
codellama/CodeLlama-7b-Instruct-hf,21,-0.84375,-5.9455480527638205,-1.7442908653846154,-2.6614583333333335,-2.122840766331658,-2.372295673076923
