modello,layer_analizzato,media_cosine_similarity,media_valore_assoluto
codellama/CodeLlama-7b-Instruct-hf,10,0.15541045989223462,0.15643785946333227
codellama/CodeLlama-7b-Instruct-hf,11,0.1422662375560358,0.14351095985527615
codellama/CodeLlama-7b-Instruct-hf,12,0.13496577200578086,0.13834935097239126
codellama/CodeLlama-7b-Instruct-hf,13,0.14592414165861042,0.14820908781272082
codellama/CodeLlama-7b-Instruct-hf,14,0.05528694421202693,0.0745558043820175
codellama/CodeLlama-7b-Instruct-hf,15,0.022045845362409274,0.06472321551049774
codellama/CodeLlama-7b-Instruct-hf,16,0.017237099271323813,0.07404658692565995
codellama/CodeLlama-7b-Instruct-hf,17,0.0033316983649479084,0.072707256480078
codellama/CodeLlama-7b-Instruct-hf,18,0.026638646820681778,0.07560504021956094
codellama/CodeLlama-7b-Instruct-hf,19,0.044088500228958515,0.07415384503465201
codellama/CodeLlama-7b-Instruct-hf,20,0.04854640769000029,0.07802077154418331
codellama/CodeLlama-7b-Instruct-hf,21,0.058363828227747626,0.08388250437214147
codellama/CodeLlama-7b-Instruct-hf,22,0.0670452022073257,0.0879610627140831
codellama/CodeLlama-7b-Instruct-hf,23,0.06122127280163406,0.08667803858991843
codellama/CodeLlama-7b-Instruct-hf,24,0.056504148933755695,0.0854161995739194
codellama/CodeLlama-7b-Instruct-hf,25,0.05895652962689424,0.08385001714505143
codellama/CodeLlama-7b-Instruct-hf,26,0.04773536698902073,0.07611618389436348
codellama/CodeLlama-7b-Instruct-hf,27,0.03440932173225748,0.06969378581598176
codellama/CodeLlama-7b-Instruct-hf,28,0.03029527137027913,0.06781812888294009
codellama/CodeLlama-7b-Instruct-hf,29,0.044428578872776514,0.07541398876276448
codellama/CodeLlama-7b-Instruct-hf,30,0.04100841493462797,0.07136611123779911
codellama/CodeLlama-7b-Instruct-hf,31,0.07835014381600384,0.0957894061678019
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,0,,
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,1,-0.08680312633514405,0.10893724645887103
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,2,0.0635087149483817,0.06885997227260045
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,3,0.05371543339320591,0.07517302376883371
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,4,-0.12184052467346192,0.12325632231576102
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,5,-0.06358044019767216,0.07169807084969111
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,6,0.04424300193786621,0.06941887310573033
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,7,0.08258348192487444,0.09477972303118025
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,8,0.10472281319754465,0.11386457170758929
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,9,0.13621805735996792,0.14016659600394113
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,10,0.1518653188432966,0.15275801249912807
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,11,0.23124640328543528,0.23124640328543528
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,12,0.22434049333844866,0.22434049333844866
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,13,0.21248070853097098,0.21248070853097098
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,14,0.1976005894797189,0.19762580735342844
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,15,0.1697371074131557,0.17177952357700893
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,16,0.1035675048828125,0.11170594351632254
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,17,0.070881073815482,0.08666769436427525
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,18,0.05146371807370867,0.07464081389563425
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,19,0.019522009577069965,0.05834170409611293
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,20,0.004438870293753488,0.05251901490347726
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,21,0.009331233160836356,0.0525770800454276
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,22,-0.0028744599648884363,0.05012740705694471
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,23,-0.016585230827331543,0.04641166755131313
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,24,0.029916531699044364,0.07071409225463868
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,25,0.027110511916024344,0.06851754529135567
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,26,0.04012635775974819,0.07849574089050293
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,27,-0.016448889459882463,0.05208591393062047
deepseek-ai/deepseek-coder-6.7b-instruct,0,,
deepseek-ai/deepseek-coder-6.7b-instruct,1,-0.125732421875,0.125732421875
deepseek-ai/deepseek-coder-6.7b-instruct,2,-0.0311431884765625,0.0311431884765625
deepseek-ai/deepseek-coder-6.7b-instruct,3,-0.026123046875,0.026123046875
deepseek-ai/deepseek-coder-6.7b-instruct,4,0.03204345703125,0.03204345703125
deepseek-ai/deepseek-coder-6.7b-instruct,5,0.0787353515625,0.0787353515625
deepseek-ai/deepseek-coder-6.7b-instruct,6,0.073974609375,0.073974609375
deepseek-ai/deepseek-coder-6.7b-instruct,7,0.096435546875,0.096435546875
deepseek-ai/deepseek-coder-6.7b-instruct,8,0.0908203125,0.0908203125
deepseek-ai/deepseek-coder-6.7b-instruct,9,0.0301666259765625,0.0301666259765625
deepseek-ai/deepseek-coder-6.7b-instruct,10,0.050567626953125,0.050567626953125
deepseek-ai/deepseek-coder-6.7b-instruct,11,0.0665283203125,0.0665283203125
deepseek-ai/deepseek-coder-6.7b-instruct,12,0.05841064453125,0.05841064453125
deepseek-ai/deepseek-coder-6.7b-instruct,13,0.034088134765625,0.034088134765625
deepseek-ai/deepseek-coder-6.7b-instruct,14,-0.073486328125,0.073486328125
deepseek-ai/deepseek-coder-6.7b-instruct,15,-0.06488037109375,0.06488037109375
deepseek-ai/deepseek-coder-6.7b-instruct,16,-0.11541748046875,0.11541748046875
