MODELLO,LAYER,Baseline_Vanilla ,AA_Overshooting ,AA_Forza ,AA_Confine ,PI_Overshooting,PI_Forza ,PI_Confine ,AP_Overshooting ,AP_Forza ,AP_Confine ,Steering_Overshooting ,Steering_Forza ,Steering_Confine 
Qwen2.5-Coder-7B-Instruct,22,11.055,23.3,20.14,6.984,43.44,45.34,10.42,20.31,20.84,16.7,35.06,43.7,
Qwen2.5-Coder-7B-Instruct,23,12.234,25.48,22.02,7.473,45.22,47.4,11.59,22.27,23.1,18.16,36.53,45.88,
Qwen2.5-Coder-7B-Instruct,24,14.055,29.06,25.16,8.586,50.1,52.3,13.41,25.17,26.16,20.38,39,49.5,
Qwen2.5-Coder-7B-Instruct,25,16.62,35.06,30.1,10.28,60.66,62.56,15.984,30.31,30.73,22.9,41.72,53.66,
Qwen2.5-Coder-7B-Instruct,26,19.5,45.38,39.84,13.23,81.1,82.75,19.7,39.94,40.34,26.27,45.72,59.12,
Qwen2.5-Coder-7B-Instruct,27,5.727,13.46,11.625,3.863,25.36,25.53,5.754,12.31,12.04,7.04,12.87,16.77,
Llama-3.1-8B-Instruct,0,0.0375,0.0987,0.09094,0.05438,0.10876,0.10443,0.01985,,,,0.0399,0.003767,0.02588
Llama-3.1-8B-Instruct,1,0.05722,0.134,0.1189,0.0773,0.1833,0.1776,0.02957,,,,0.06076,0.005375,0.03574
Llama-3.1-8B-Instruct,2,0.0918,0.2019,0.1676,0.12256,0.2634,0.2542,0.04953,,,,0.0965,0.007866,0.05295
Llama-3.1-8B-Instruct,3,0.1464,0.3145,0.2435,0.176,0.398,0.3855,0.0748,,,,0.1516,0.0108,0.07495
Llama-3.1-8B-Instruct,4,0.1941,0.4165,0.3176,0.254,0.553,0.513,0.1085,,,,0.2001,0.01398,0.10095
Llama-3.1-8B-Instruct,5,0.2415,0.509,0.3757,0.3076,0.663,0.6084,0.143,,,,0.2491,0.01703,0.11993
Llama-3.1-8B-Instruct,6,0.272,0.5757,0.406,0.324,0.679,0.6016,0.169,,,,0.2817,0.01828,0.1175
Llama-3.1-8B-Instruct,7,0.3418,0.6914,0.4722,0.3916,0.845,0.715,0.219,,,,0.3533,0.0209,0.1335
Llama-3.1-8B-Instruct,8,0.3557,0.7466,0.528,0.409,0.967,0.8145,0.2365,,,,0.3672,0.02295,0.1526
Llama-3.1-8B-Instruct,9,0.3953,0.848,0.633,0.4812,1.181,1.023,0.2537,,,,0.4053,0.02579,0.177
Llama-3.1-8B-Instruct,10,0.3962,0.8584,0.666,0.514,1.177,1.027,0.2534,,,,0.4033,0.02588,0.1875
Llama-3.1-8B-Instruct,11,0.3792,0.827,0.6523,0.5054,1.158,1.004,0.2478,,,,0.385,0.02501,0.1901
Llama-3.1-8B-Instruct,12,0.423,0.956,0.7715,0.54,1.177,1.031,0.291,,,,0.4282,0.02925,0.2292
Llama-3.1-8B-Instruct,13,0.4856,1.165,0.9634,0.612,1.408,1.3125,0.3538,,,,0.4893,0.03513,0.2856
Llama-3.1-8B-Instruct,14,0.6177,1.362,1.165,0.7725,2.057,2.049,0.456,,,,0.621,0.04312,0.3584
Llama-3.1-8B-Instruct,15,0.788,1.513,1.272,0.816,2.254,2.18,0.511,,,,0.79,0.05365,0.4653
Llama-3.1-8B-Instruct,16,0.935,1.764,1.477,0.895,2.467,2.26,0.5728,,,,2.572,3.465,0.6143
Llama-3.1-8B-Instruct,17,1.201,2.088,1.634,0.9844,2.959,2.553,0.657,,,,3.082,4.21,0.7583
Llama-3.1-8B-Instruct,18,1.401,2.457,1.82,1.026,3.162,2.602,0.732,,,,3.443,4.73,0.8594
Llama-3.1-8B-Instruct,19,1.529,2.674,1.931,1.066,3.477,2.816,0.798,,,,3.775,5.17,0.9404
Llama-3.1-8B-Instruct,20,1.671,2.865,2.002,1.117,3.82,3.08,0.8843,,,,3.994,5.508,0.976
Llama-3.1-8B-Instruct,21,1.861,3.217,2.23,1.243,4.168,3.334,0.9893,,,,4.457,6.156,1.081
Llama-3.1-8B-Instruct,22,2.014,3.54,2.443,1.317,4.473,3.582,1.095,,,,4.77,6.6,1.178
Llama-3.1-8B-Instruct,23,2.273,4.008,2.688,1.421,4.914,3.812,1.256,,,,5.293,7.35,1.291
Llama-3.1-8B-Instruct,24,2.422,4.28,2.861,1.486,5.19,4.027,1.317,,,,5.625,7.81,1.395
Llama-3.1-8B-Instruct,25,2.67,4.72,3.148,1.608,5.613,4.348,1.455,,,,6.074,8.47,1.501
Llama-3.1-8B-Instruct,26,2.908,5.07,3.43,1.771,6.227,4.875,1.621,,,,6.46,9.03,1.603
Llama-3.1-8B-Instruct,27,3.201,5.51,3.729,1.963,7.01,5.61,1.78,,,,7.074,9.836,1.739
Llama-3.1-8B-Instruct,28,3.58,6.125,4.13,2.182,7.703,6.12,2.008,,,,7.805,10.89,1.927
Llama-3.1-8B-Instruct,29,3.928,6.723,4.637,2.438,8.36,6.68,2.225,,,,8.56,11.93,2.14
Llama-3.1-8B-Instruct,30,4.543,7.918,5.652,2.934,9.695,7.754,2.57,,,,9.87,13.72,2.469
Llama-3.1-8B-Instruct,31,14.29,24.67,18,9.66,29.64,23.53,7.69,,,,30,42.06,7.633
CodeLlama-7b-Instruct-hf,0,0.0692,0.147,0.1005,0.0781,0.1456,0.11414,,0.1766,0.1389,0.02673,0.0683,0.001637,0.0634
CodeLlama-7b-Instruct-hf,1,0.09937,0.2244,0.1567,0.1168,0.2263,0.193,,0.2896,0.237,0.04562,0.09753,0.00295,0.1039
CodeLlama-7b-Instruct-hf,2,0.1411,0.3071,0.212,0.1726,0.3296,0.2812,,0.4001,0.3323,0.0742,0.1385,0.00489,0.1823
CodeLlama-7b-Instruct-hf,3,0.2212,0.501,0.3584,0.314,0.6587,0.605,,0.707,0.618,0.1542,0.2156,0.01002,0.387
CodeLlama-7b-Instruct-hf,4,0.3716,0.952,0.78,0.6597,1.346,1.241,,1.568,1.471,0.26,0.361,0.01802,0.7
CodeLlama-7b-Instruct-hf,5,0.511,1.275,1.052,0.8984,1.881,1.784,,2.088,1.966,0.3315,0.498,0.02556,0.9985
CodeLlama-7b-Instruct-hf,6,0.58,1.528,1.264,1.045,2.191,2.078,,2.424,2.275,0.4048,0.564,0.03073,1.209
CodeLlama-7b-Instruct-hf,7,0.7295,2.1,1.715,1.249,3.107,2.916,,3.488,3.207,0.553,0.7046,0.0437,1.715
CodeLlama-7b-Instruct-hf,8,0.8726,2.629,2.115,1.548,3.55,3.299,,4.387,3.96,0.694,0.838,0.0553,2.186
CodeLlama-7b-Instruct-hf,9,1,3.066,2.48,1.865,4.176,3.863,,5.137,4.613,0.883,0.9565,0.06775,2.691
CodeLlama-7b-Instruct-hf,10,1.085,3.307,2.709,2.104,4.617,4.26,,5.46,4.92,0.9873,1.035,0.07623,3.01
CodeLlama-7b-Instruct-hf,11,1.307,3.781,3.068,2.57,5.715,5.293,,6.336,5.652,1.178,1.244,0.0993,3.934
CodeLlama-7b-Instruct-hf,12,1.456,4.254,3.467,2.963,6.684,6.227,,7.094,6.32,1.366,1.382,0.1204,4.76
CodeLlama-7b-Instruct-hf,13,1.619,4.605,3.922,3.51,7.938,7.59,,7.69,6.902,1.744,1.538,0.1465,5.824
CodeLlama-7b-Instruct-hf,14,1.909,5.953,5.29,5.074,11.52,11.305,,9.086,8.23,2.312,13.88,15.35,7.797
CodeLlama-7b-Instruct-hf,15,2.195,6.203,5.67,5.81,13.05,12.805,,10.766,9.76,2.709,14.8,16.33,8.85
CodeLlama-7b-Instruct-hf,16,2.348,6.574,5.99,6.11,14.1,13.86,,11.29,10.19,2.87,15.68,17.22,9.5
CodeLlama-7b-Instruct-hf,17,2.426,6.9,6.305,6.445,14.984,14.75,,11.73,10.59,3.08,16.28,17.83,9.9
CodeLlama-7b-Instruct-hf,18,2.627,7.84,7.125,7.344,17.23,16.92,,13.03,11.74,3.537,17.62,19.22,10.84
CodeLlama-7b-Instruct-hf,19,2.928,8.914,8.05,7.875,19.02,18.61,,14.65,13.164,3.824,18.95,20.64,11.875
CodeLlama-7b-Instruct-hf,20,3.219,9.67,8.734,8.51,20.62,20.16,,15.695,14.06,4.145,20.55,22.33,12.89
CodeLlama-7b-Instruct-hf,21,3.482,10.4,9.37,9.164,22.31,21.81,,17.12,15.375,4.49,22.22,24.16,14.1
CodeLlama-7b-Instruct-hf,22,3.885,11.375,10.195,10.05,24.56,23.92,,18.9,16.88,4.895,24.36,26.47,15.52
CodeLlama-7b-Instruct-hf,23,4.28,12.66,11.29,10.97,27,26.42,,20.8,18.56,5.336,26.83,29.14,17.25
CodeLlama-7b-Instruct-hf,24,4.664,13.94,12.47,11.945,29.73,29.06,,22.95,20.56,5.934,29.44,31.88,18.88
CodeLlama-7b-Instruct-hf,25,5.055,15.69,14.12,13.03,32.9,32.16,,25.56,23.08,6.523,32.03,34.6,20.72
CodeLlama-7b-Instruct-hf,26,5.56,17.39,15.72,14.29,36.56,35.8,,28.02,25.28,7.242,35.47,38.28,23.02
CodeLlama-7b-Instruct-hf,27,6.06,19.6,17.73,15.53,40.34,39.62,,30.83,27.8,7.934,38.78,41.75,25.28
CodeLlama-7b-Instruct-hf,28,6.65,21.94,19.88,17.1,44.5,43.6,,34.72,31.31,8.6,42.44,45.7,27.88
CodeLlama-7b-Instruct-hf,29,7.426,24.4,22.02,18.42,48.72,47.66,,39.2,35.38,9.555,46.72,50.28,30.7
CodeLlama-7b-Instruct-hf,30,8.49,27.45,24.45,20.47,54.6,53.16,,44.03,39.56,10.68,51.97,55.66,33.88
CodeLlama-7b-Instruct-hf,31,3.133,9.9,8.6,6.9,18.53,17.81,,15,13.234,3.543,18.97,20.33,12.58
DeepSeek-R1-Distill-Qwen-7B,0,0.4094,2.758,2.64,0.2961,1.806,1.827,0.3345,3.977,4.04,0.1863,0.3728,0.3596,0.4268
DeepSeek-R1-Distill-Qwen-7B,1,0.4834,3.148,2.977,0.3667,2.88,2.816,0.3748,4.38,4.406,0.2123,0.436,0.4158,0.4958
DeepSeek-R1-Distill-Qwen-7B,2,0.7607,3.846,3.613,0.6025,7.273,7.195,0.51,6.832,6.88,0.2964,0.696,0.5625,0.683
DeepSeek-R1-Distill-Qwen-7B,3,0.9473,4.84,4.633,0.797,11.66,11.78,0.6577,9.4,9.56,0.3835,0.8667,0.6685,0.8154
DeepSeek-R1-Distill-Qwen-7B,4,1.148,5.848,5.582,0.9663,13.625,13.766,0.775,11.14,11.31,0.441,1.068,0.821,0.996
DeepSeek-R1-Distill-Qwen-7B,5,1.469,7.082,6.645,1.145,15.31,15.234,0.8745,13.04,13.164,0.4907,1.329,1.001,1.216
DeepSeek-R1-Distill-Qwen-7B,6,1.544,8.15,7.617,1.154,14.9,14.74,0.9478,13.195,13.21,0.5166,1.399,1.117,1.358
DeepSeek-R1-Distill-Qwen-7B,7,1.966,10.19,9.734,1.375,16.08,15.74,1.383,15.58,15.63,0.734,1.881,1.44,1.755
DeepSeek-R1-Distill-Qwen-7B,8,2.426,12.89,12.16,1.7705,18.34,17.78,1.796,18.64,18.6,0.9805,2.318,1.856,2.258
DeepSeek-R1-Distill-Qwen-7B,9,2.434,12.69,12.29,2.082,19.39,18.6,2.11,19.16,19.23,1.169,2.348,2.027,2.453
DeepSeek-R1-Distill-Qwen-7B,10,2.398,12.01,11.805,1.971,18.58,17.8,2.143,17.78,17.97,1.05,2.205,1.96,2.367
DeepSeek-R1-Distill-Qwen-7B,11,2.611,13.375,13.04,2.248,20.34,19.45,2.332,19.36,19.36,1.146,2.555,2.244,2.709
DeepSeek-R1-Distill-Qwen-7B,12,2.752,14.62,14.22,2.562,21.23,20.28,2.57,21.92,21.84,1.281,2.775,2.418,2.91
DeepSeek-R1-Distill-Qwen-7B,13,2.914,17,16.52,3.45,24.27,23.38,2.908,28.17,28.05,1.775,3.133,2.734,3.268
DeepSeek-R1-Distill-Qwen-7B,14,3.23,20.11,19.5,4.406,28.11,27.19,3.285,35.1,34.8,2.268,3.719,3.14,3.74
DeepSeek-R1-Distill-Qwen-7B,15,3.627,22.03,21.31,4.883,30.81,30.05,3.64,38.5,38.25,2.531,4.254,3.46,4.125
DeepSeek-R1-Distill-Qwen-7B,16,3.975,25.58,24.83,5.69,36.06,35.56,4.12,45.03,44.72,2.906,4.742,4.027,4.8
DeepSeek-R1-Distill-Qwen-7B,17,4.56,27.9,26.98,6.414,39.4,38.88,4.652,50.22,49.75,3.254,5.35,4.53,5.4
DeepSeek-R1-Distill-Qwen-7B,18,5.707,33.7,32.84,7.168,46.1,45.8,5.77,57,56.47,3.715,6.61,5.207,6.22
DeepSeek-R1-Distill-Qwen-7B,19,6.68,37.06,35.97,7.594,49.47,49.1,6.414,60.56,59.72,4.176,7.457,5.688,6.8
DeepSeek-R1-Distill-Qwen-7B,20,7.754,43.2,41.66,8.68,58.38,58.06,7.496,70.2,68.9,5.027,8.38,14.49,7.918
DeepSeek-R1-Distill-Qwen-7B,21,9.1,50.4,48.88,9.94,67.44,66.94,9.03,80.9,79.3,5.977,9.61,16.67,9.23
DeepSeek-R1-Distill-Qwen-7B,22,10.88,63,61.62,11.85,80.6,80.4,10.84,95.06,93.44,7.4,11.55,19.55,11.164
DeepSeek-R1-Distill-Qwen-7B,23,14.02,75,73,14.51,100,98.94,13.86,113.25,110.9,8.8,13.51,23.56,12.97
DeepSeek-R1-Distill-Qwen-7B,24,15.85,86,83.8,16.66,111.75,110.44,16.36,128.1,125.3,9.92,15.33,26.47,14.99
DeepSeek-R1-Distill-Qwen-7B,25,17.9,95.4,92.75,19.16,125.4,123.75,18.42,142.1,139.1,11.04,16.88,29.12,16.44
DeepSeek-R1-Distill-Qwen-7B,26,20.7,109.6,106.9,22.22,145.9,143.5,21.1,157.6,154.4,12.37,19.23,32.7,18.9
DeepSeek-R1-Distill-Qwen-7B,27,2.375,11.65,11.99,2.463,14.47,14.445,2.125,16.77,16.22,1.443,2.773,4.55,2.713
deepseek-coder-6.7b-instruct,0,0.2688,0.799,0.63,0.5093,0.769,0.7544,0.7334,0.7983,0.7173,0.469,0.3162,0.0898,0.6245
deepseek-coder-6.7b-instruct,1,0.4854,1.129,0.8716,0.6416,1.168,1.139,1.072,1.061,0.9272,0.7437,0.5073,0.1735,1.214
deepseek-coder-6.7b-instruct,2,0.736,1.473,1.144,0.8623,1.694,1.65,1.464,1.523,1.402,1.173,0.6743,0.2695,1.887
deepseek-coder-6.7b-instruct,3,1.07,2.168,1.893,1.228,2.719,2.814,2.305,2.197,2.1,1.78,0.9175,0.4177,2.924
deepseek-coder-6.7b-instruct,4,1.346,2.65,2.35,1.568,3.512,3.64,2.95,2.904,2.81,2.266,1.152,0.5547,3.885
deepseek-coder-6.7b-instruct,5,1.723,3.438,3.09,1.908,4.496,4.508,3.629,4.37,4.098,2.998,1.458,0.7427,5.2
deepseek-coder-6.7b-instruct,6,2.545,5.684,5.37,2.973,6.816,6.594,5.152,6.934,6.51,4.695,2.244,1.134,7.934
deepseek-coder-6.7b-instruct,7,3.207,7.297,6.547,3.576,8.98,8.52,6.67,9.375,8.69,5.84,2.92,1.34,9.375
deepseek-coder-6.7b-instruct,8,3.826,9.15,7.973,4.297,10.97,10.67,7.99,11.59,10.67,6.57,3.568,1.599,11.19
deepseek-coder-6.7b-instruct,9,4.38,11.01,9.5,5.375,14.06,13.54,9.3,15.375,14.164,7.695,4.16,1.889,13.23
deepseek-coder-6.7b-instruct,10,5.426,13.88,11.62,6.94,17.58,16.48,11.27,19.67,17.98,9.016,5.02,2.213,15.484
deepseek-coder-6.7b-instruct,11,7.22,15.41,12.336,9.17,21.28,19.48,13.44,23.58,20.88,10.57,6.43,2.72,19.03
deepseek-coder-6.7b-instruct,12,9.06,19.28,15.46,12.3,24.84,22.53,16.31,28.6,25.1,14.21,7.996,3.47,24.3
deepseek-coder-6.7b-instruct,13,12.76,24.36,18.97,15.99,30.77,28.17,20.03,33.4,30.3,21.61,11.336,4.484,31.39
deepseek-coder-6.7b-instruct,14,14.016,25.7,20.69,16.9,32.53,29.52,21.2,35.75,32.4,22.86,12.36,4.957,34.7
deepseek-coder-6.7b-instruct,15,16.69,29.53,23.5,19.34,37.12,34.5,25.4,40.22,36.94,25.98,14.664,6.055,42.38
deepseek-coder-6.7b-instruct,16,20.56,35.4,28.83,23.92,45.06,44.25,33.56,46.6,43.9,30.22,18.25,7.44,52.06
deepseek-coder-6.7b-instruct,17,22.77,39.03,31.98,24.9,48.06,48.38,36.94,52.2,49.56,32.47,12.984,14.11,55.5
deepseek-coder-6.7b-instruct,18,24.22,41.3,34.25,26.75,49.78,50.94,38.72,55.5,52.56,34.25,14.21,14.96,60.66
deepseek-coder-6.7b-instruct,19,26.1,43.66,36.56,29.73,55.56,56.47,42.8,61.44,58.3,37,15.7,15.88,66
deepseek-coder-6.7b-instruct,20,29.14,48.03,39.62,32.88,58.75,60.56,46.38,67.5,63.28,39.8,17.67,17.19,71.56
deepseek-coder-6.7b-instruct,21,30.92,51.75,42.53,37.78,65.3,66.9,50.47,73.1,68.3,43.6,19.02,18.27,80.5
deepseek-coder-6.7b-instruct,22,32.7,54.66,45.2,42.53,69.06,70.6,52.8,78,73.1,46.3,20.12,19.31,88.25
deepseek-coder-6.7b-instruct,23,35.94,61.47,51.16,48.8,80,81.56,58.97,87.25,81.7,50.75,22.69,20.75,97.44
deepseek-coder-6.7b-instruct,24,37.1,63.9,53.34,52.62,83.9,85.2,62.03,92.25,86.8,53.7,23.92,21.42,102.75
deepseek-coder-6.7b-instruct,25,40.4,70.1,58.8,58.44,94.2,93.7,67.8,101.25,94.7,58.75,27,23.02,114.06
deepseek-coder-6.7b-instruct,26,43.78,74.6,62.75,63.88,101.8,100.25,72.3,108.4,102.3,63.38,28.78,25.12,125.56
deepseek-coder-6.7b-instruct,27,47.03,80.1,67.56,69.25,107.56,105.3,76,115.5,109.6,67.94,31.4,26.62,133.6
deepseek-coder-6.7b-instruct,28,50.84,85.94,72.94,76.8,115.75,112.44,81.4,123.56,117.06,71.5,34.62,28.89,147.9
deepseek-coder-6.7b-instruct,29,55.75,96.8,82.56,83.56,129.5,124.6,90.4,136.4,130.1,78.6,39.38,31.19,163.6
deepseek-coder-6.7b-instruct,30,61.66,105.44,89.5,89.94,142.5,136,98.1,148.9,141.2,86.2,44.28,33.75,178.5
deepseek-coder-6.7b-instruct,31,1.868,3.104,2.492,2.436,3.812,3.705,2.625,4.3,3.912,2.596,1.363,0.9272,4.87
