MODELLO,LAYER,Baseline_Vanilla (S_base - V_base),AA_Overshooting (S_AA - S_base),AA_Forza (S_AA - V_base),AA_Confine (S_AA - V_AA),PI_Overshooting (S_PI - S_base),PI_Forza (S_PI - V_base),PI_Confine (S_PI - V_PI),AP_Overshooting (S_AP - S_base),AP_Forza (S_AP - V_base),AP_Confine (S_AP - V_AP),Steering_Overshooting (S_Steering - S_base),Steering_Forza (S_Steering - V_base),Steering_Confine (S_Steering - V_Steering),AA (S_base - V_AA),AA (V_base - V_AA),PI (S_base - V_PI),PI (V_base - V_PI),AP (S_base - V_AP),AP (V_base - V_AP),Sbase-Vsteering (S_base - V_Steering),Steering_Overshooting (V_base - V_Steering)
Qwen/Qwen2.5-Coder-7B-Instruct,11,1.182,4.777,4.152,1.279,6.316,5.773,1.499,7.188,6.62,1.652,1.182,0,,5.215,4.63,6.105,5.527,7.715,7.074,,
Qwen/Qwen2.5-Coder-7B-Instruct,12,1.1455,4.67,4.055,1.217,7.09,6.504,1.43,7.105,6.54,1.801,1.1455,0,,5.004,4.434,6.86,6.246,7.598,6.945,,
Qwen/Qwen2.5-Coder-7B-Instruct,13,1.224,5.082,4.426,1.329,9.11,8.49,1.653,7.863,7.266,2.127,1.224,0,,5.35,4.773,8.8,8.15,8.29,7.58,,
Qwen/Qwen2.5-Coder-7B-Instruct,14,1.385,6.023,5.324,1.417,10.61,9.984,1.931,8.836,8.25,2.727,1.385,0,,6.215,5.57,10.29,9.59,9.36,8.586,,
Qwen/Qwen2.5-Coder-7B-Instruct,15,1.432,6.42,5.715,1.492,11.836,11.24,2.146,9.125,8.586,2.988,1.432,0,,6.605,5.95,11.34,10.664,9.59,8.82,,
Qwen/Qwen2.5-Coder-7B-Instruct,16,1.557,6.73,5.938,1.676,15.32,14.69,2.434,9.72,9.1,3.416,1.557,0,,6.875,6.145,14.805,14.1,10.37,9.49,,
Qwen/Qwen2.5-Coder-7B-Instruct,17,2.043,7.867,6.926,2.117,21.44,20.9,3.184,11.17,10.53,4.08,2.043,0,,8.055,7.156,20.75,20.11,12.02,11.01,,
Qwen/Qwen2.5-Coder-7B-Instruct,18,4.42,12.6,11.17,3.643,25.02,25.06,4.895,13.15,13.14,7.773,4.42,0,,12.64,10.65,23.97,23.61,14.93,12.94,,
Qwen/Qwen2.5-Coder-7B-Instruct,19,6.19,14.02,12.28,4.273,31.52,32.4,6.848,14.11,14.95,10.95,34.47,40.28,,14.74,11.89,29.16,29.53,16.78,13.73,,
Qwen/Qwen2.5-Coder-7B-Instruct,20,9.46,19.53,17.34,6.176,37.03,38.72,8.53,17.42,17.8,14.75,32.72,40,,20.27,16.34,34.6,35.62,23.77,18.31,,
Qwen/Qwen2.5-Coder-7B-Instruct,21,10.15,21.31,18.67,6.55,38.47,40.22,9.37,18.75,19.14,15.35,33.38,41.25,,22.23,17.88,35.7,36.72,25.25,19.64,,
Qwen/Qwen2.5-Coder-7B-Instruct,22,11.055,23.3,20.14,6.984,43.44,45.34,10.42,20.31,20.84,16.7,35.06,43.7,,24.39,19.45,41.2,42.34,27.39,21.4,,
Qwen/Qwen2.5-Coder-7B-Instruct,23,12.234,25.48,22.02,7.473,45.22,47.4,11.59,22.27,23.1,18.16,36.53,45.88,,26.64,21.25,43.12,44.44,29.67,23.27,,
Qwen/Qwen2.5-Coder-7B-Instruct,24,14.055,29.06,25.16,8.586,50.1,52.3,13.41,25.17,26.16,20.38,39,49.5,,30.55,24.38,47.97,49.2,33.4,26.08,,
Qwen/Qwen2.5-Coder-7B-Instruct,25,16.62,35.06,30.1,10.28,60.66,62.56,15.984,30.31,30.73,22.9,41.72,53.66,,36.9,29.64,57.8,58.75,39.53,30.9,,
